Autobiografia - Visconde de Mauá (vol. 148) - 9788570183453;03.15.01.0141-7;;;
Autobiografia de C. B. Ottoni (vol. 202) - 9788570185501;03.15.01.0193-0;;;
Autores e livros na Rádio Senado – entrevistas a Margarida Patriota (vol. 220) - 9788570186737;03.15.01.0206-5;;;
Avaliação de impacto legislativo - Cenários e perspectivas para sua aplicação - 9788570188878;03.14.02.0010-2;;;
Balmaceda (vol. 14) - 9788570182555;03.15.01.0013-5;;;
Bandeiras nacional, históricas e estaduais (vol. 155);03.15.01.0148-4;;;
;03.15.01.0056-9;;;
Biblioteca Acadêmico Luiz Viana Filho: 180 Anos de História Viva;03.14.11.0049-7;;;
;03.15.01.0222-7;;;
;03.15.01.0225-1;;;
Brasil: uma história documental (vol. 232) - 9788570187536;03.15.01.0233-2;;;
Brasileiras célebres (vol. 228) - 9788570187475;03.15.01.0212-0;;;
Caminhos do açúcar: engenhos e casas-grandes das Alagoas (vol. 104);03.15.01.0097-6;;;
Campanha abolicionista no Recife: eleições de 1884 (vol. 59);03.15.01.0052-6;;;
;03.15.01.0002-0;;;
Capítulos de história colonial (vol. 65);03.15.01.0058-5;;;
;03.15.01.0246-4;;;
Castilhismo: uma filosofia da República (vol. 145);03.15.01.0138-7;;;
Catálogo de Obras Raras e Valiosas da Coleção Luiz Viana Filho - 9788570183552;03.14.11.0044-6;;;
;03.14.01.0008-6;;;
;03.14.11.0064-0;;;
;03.15.01.0273-1;;;
;03.15.01.0077-1;;;
Cidades históricas – inventário e pesquisa: São Luís (vol. 85);03.15.01.0078-0;;;
;03.15.01.0076-3;;;
Ciência, Tecnologia e Soberania Nacional – Dificuldades para a construção de um projeto nacional - 9788570183606;03.14.11.0001-2;;;
Código Civil e normas correlatas – 9ª edição - 9788570188373;03.14.04.0002-0;;;
Código de defesa do consumidor e normas correlatas 2ª ed. – 9788570188717;03.14.12.0017-3;;;
Código de processo civil e normas correlatas – 11ª edição - 9788570188472;03.14.04.0003-9;;;
Código de processo penal - 1ª ed. - 9788570188090;03.14.05.0001-7;;;
Código Filipino ou Ordenações e Leis do Reino de Portugal (vol. 38) - 9788570183699;03.15.01.0033-0;;;
Código Penal - 9788570188045;03.14.05.0002-5;;;
Código Tributário Nacional - 3ª ed. - 9788570188502;03.14.02.0001-3;;;
Coleção ambiental – Água - 9788570186195;03.14.06.0001-1;;;
Coleção ambiental – Educação ambiental - 9788570185761;03.14.06.0002-0;;;
Coleção ambiental – Florestas - 9788570185822;03.14.06.0003-8;;;
Coleção ambiental – Patrimônio genético - 9788570187031;03.14.06.0004-6;;;
Coleção ambiental – Resíduos sólidos e saneamento básico - 9788570187062;03.14.06.0005-4;;;
Coleção ambiental – Terras - 9788570185952;03.14.06.0006-2;;;
Coleção Ambiental Vol. II – Código de Mineração e Legislação Correlata - 9788570183644;03.14.06.0008-9;;;
Coleção Ambiental Vol. V – Biossegurança e Transgenia - 9788570183620;03.14.06.0009-7;;;
Coleção Ambiental Vol. VI – Atmosfera, Desmatamento, Poluição e Camada de Ozônio;03.14.06.0007-0;;;
Coleção Ambiental Vol. VIII – Unidades de Conservação da Natureza;;;;
Coleção Constituições Brasileiras - 9788570184245;03.14.01.0002-7;;;
Coleção de Teses – “O Judiciário Legislador”;;;;
Coleção de Teses – A Democracia Desconstruída. O déficit democrático nas relações internacionais e os parlamentos da integração;;;;
Coleção de Teses – A Judicialização da Política e o Direito Eleitoral Brasileiro no Período 2002-2008;;;;
Coleção de Teses – A linguagem penal do contrato social brasileiro: O inimigo, a guerra e a construção da ordem contra a sociedade no Brasil (1822-1890);03.14.11.0032-2;;;
Coleção de Teses – A polêmica construída: racismo e discurso da imprensa sobre a política de cotas para negros;;;;
Coleção de Teses – A preponderância do Poder Executivo no processo orçamentário;03.14.11.0070-5;;;
;;;;
Coleção de Teses – A Subsidiariedade como Princípio de Organização do Estado e sua Aplicação no Federalismo;;;;
Coleção de Teses – Análise da Ocorrência de Interfaces entre as Competências do Senado Federal;;;;
Coleção de Teses – Auditoria interna de recursos humanos: temas de trabalho e perspectivas de atuação;03.14.11.0031-4;;;
Coleção de Teses – Bolívia: logística nacional e construção do Estado;;;;
Coleção de Teses – Construindo e gerenciando estrategicamente a agenda legislativa do Executivo: o fenômeno da Apropriação;;;;
Coleção de Teses – Da constitucionalidade e legitimidade da iniciativa popular para a reforma da constituição;03.14.11.0071-3;;;
Coleção de Teses – Da influência dos valores culturais na percepção e prática da corrupção: de perspectivas teóricas a evidências práticas;03.14.11.0028-4;;;
Coleção de Teses – Emendas individuais dos senadores ao orçamento anual: uma análise dos exercícios de 2008 e 2009;03.14.07.0002-4;;;
Coleção de Teses – Gênero, adolescência e políticas de ressocialização: um estudo com as internas do CAJE do Distrito Federal;03.14.11.0073-0;;;
Coleção de Teses – Imagens Cruzadas: A opinião pública e o Congresso Nacional;;;;
Coleção de Teses – Interações entre coalizão e oposição nas comissões da Câmara dos Deputados e do Senado Federal (2011);03.14.11.0033-0;;;
;03.14.11.0033-0;;;
Coleção de Teses – O (des)alinhamento das agendas política e burocrática no Senado: uma análise à luz da teoria da agência, sob o posnto de vista do agente;03.14.11.0026-8;;;
Coleção de Teses – O Controle Normativo da Mídia do Congresso Nacional;03.14.11.0068-3;;;
Coleção de Teses – O impacto da gestão de documentos no processo de produção digital da TV Senado;;;;
Coleção de Teses – O papel dos atores institucionais na aprovação de emendas orçamentárias de bancadas estaduais entre 2007 e 2011;;;;
Coleção de Teses – O poder dos líderes revisitado: a atuação das bancadas temáticas na aprovação do Código Florestal;03.14.11.0034-9;;;
;03.14.11.0034-9;;;
Coleção de Teses – O Princípio da Moderação e a Legitimação do Controle Judicial de Constitucionalidade das Leis;03.14.11.0072-1;;;
Coleção de Teses – Política externa independente (1961-1964): o parlamento e o caso do colonialismo português na África;;;;
Coleção de Teses – Políticas públicas estatais: a deliberação popular no ciclo das políticas públicas;03.14.11.0069-1;;;
Coleção de Teses – Programas de marketing social: proposição e exame de uma estrutura conceitual de avaliação de resultados;;;;
Coleção de Teses – Projeto de Visita do Parlamento Brasileiro: Construção de uma nova imagem;;;;
Coleção de Teses – Prouni e o fenômeno da apropriação;03.14.11.0048-9;;;
Coleção de Teses – Regulamentação das atividades de lobby e seu impacto sobre as relações entre políticos, burocratas e grupos de interesse no ciclo das políticas públicas – análise comparativa dos Estados Unidos e Brasil;03.14.11.0030-6;;;
Coleção de Teses – Sistema de Controle Interno Integrado da União: Necessidade ou simples obrigatoriedade?;;;;
Coleção de Teses – Sociedade Anônima simplificada;03.14.11.0027-6;;;
Coleção de Teses – Tributação Pró-Competitiva: Critérios especiais de tributação e desequilíbrios da concorrência;;;;
;03.14.11.0035-7;;;
;03.14.11.0035-7;;;
Coleção O Senado na História do Brasil (Arquivo S – Vol. 1) - 9788570186508;;;;
Coleção Sessões Temáticas – Reforma política, financiamento da saúde e pacto federativo;03.14.11.0052-7;;;
;03.14.11.0053-5;;;
Coletânea básica penal - 8ª edição - 9788570187987;03.14.05.0003-3;;;
Colônias imperiais na terra do café: camponeses trentinos (vênetos e lombardos) nas florestas brasileiras. Espírito Santo (1874-1900) (vol. 114);03.15.01.0107-7;;;
Conselhos aos governantes (vol. 15) - reimpressão - 9788570188120;03.15.01.0014-3;;;
Consolidação das leis do trabalho – CLT e normas correlatas – 9788570188908;03.14.04.0014-4;;;
Constituição em Miúdos - 1 ed - 97824246;03.14.01.0003-5;;;
Constituição Federal – 97ª Emenda – Modelo Livro – 9788570188939;03.14.01.0009-4;;;
;03.14.01.0004-3;;;
;03.14.01.0005-1;;;
Constituições primeiras do Arcebispado da Bahia (vol. 79) - 9788570182852;03.15.01.0072-0;;;
Constitution of the Federative Republic of Brazil 1988 - Amendments 1/92 - through 72/2013 -9788570184986;03.14.01.0006-0;;;
;03.14.04.0004-7;;;
